School,Email_domain,"Region, based on US Census Bureau (LINK)",State,Med Student Population Size (LINK),University Student Population Size ,Endowment (billions),Medical school endowment? T/F
University of Missouri-Columbia School of Medicine,health.missouri.edu,Midwest,Missouri,495,30046,1.74,F
University of Missouri-Kansas City School of Medicine,umkc.edu,Midwest,Missouri,479,16405,1.12,F
University of Nebraska College of Medicine,unmc.edu,Midwest,Nebraska,546,,0.774,T
Western Michigan University Homer Styker M.D. School of Medicine,med.wmich.edu,Midwest,Michigan,337,21470,0.4052,F
University of Arizona College of Medicine,arizona.edu,West,Arizona,346,45918,1.038,F
University of Arizona College of Medicine-Tucson,email.arizona.edu,West,Arizona,521,45918,1.038,F
University of Arkansas for Medical Sciences College of Medicine,uams.edu,South,Arkansas,720,27562,1.222,F
"University of California, Davis, School of Medicine",ucdavis.edu,West,California,510,38634,11.008,F
"University of California, Los Angeles, David Geffen School of Medicine",mednet.ucla.edu,West,California,880,45742,5.39,F
"University of California, San Francisco, School of Medicine",ucsf.edu,West,California,830,10636,3.89,F
University of Colorado School of Medicine,cuanschutz.edu,West,Colorado,802,37650,1.453,F
University of Connecticut School of Medicine,uchc.edu,Northeast,Connecticut,490,27280,0.462,F
University of Florida College of Medicine,ufl.edu,South,Florida,608,,1.73,T
University of Hawai at Manoa John A. Burns School of MEdicine,hawaii.edu,West,Hawaii,305,17490,0.3269,F
Northwestern University Feinberg School of Medicine,northwestern.edu,Midwest,Illinois,750,,2.023,T
Nova Southeastern University Dr. Kiran Patel College of Allopathic Medicine,nova.edu,South,Florida,154,20579,0.1707,F
Rush Medical College of Rush University Medical Center,rush.edu,Midwest,Illinois,587,,0.632,T
Southern Illinois University School of Medicine,siumed.edu,Midwest,Illinois,303,11695,0.1424,F
Stanford University School of Medicine,stanford.edu,West,California,529,17249,27.7,F
The George Washington University School of Medicine and Health Sciences,gwmail.gwu.edu,South,District of Columbia,750,,1.57,T
The George Washington University School of Medicine and Health Sciences,gwu.edu,South,District of Columbia,750,,1.57,T
Pennsylvania State University College of Medicine,psu.edu,Northeast,Pennsylvania,675,47223,4.55,F
Rutgers Robert Wood Johnson Medical School,rutgers.edu,Northeast,New Jersey,749,50173,1.476,F
Rutgers Robert Wood Johnson Medical School,rwjms.rutgers.edu,Northeast,New Jersey,749,50173,1.476,F
State University of New York Downstate Medical Center College of Medicine,downstate.edu,Northeast,New York,864,,0.0191,T
State University of New York Upstate Medical University,upstate.edu,Northeast,New York,703,,0.0941,T
Stony Brook University School of Medicine,stonybrookmedicine.edu,Northeast,New York,607,26814,0.3491,F
